ncrs,time,latitude,longitude,nv,crs,lat_bnds,lon_bnds,NDVI,TIMEOFDAY,QA,MASK,NDVI_smth1,NDVI_smth1_ds,NDVI_smth2,NDVI_smth2_dl
0,1982-12-18,41.124996185302734,-104.07499694824219,0,-32767.0,41.149998,-104.1,0.21759999,2019-12-30 21:47:59.997253417,24704.0,1.0,0.2175999879837036,0.2175999879837036,0.17751537601752548,0.14428763744148088
0,1982-12-18,41.124996185302734,-104.07499694824219,1,-32767.0,41.099995,-104.049995,0.21759999,2019-12-30 21:47:59.997253417,24704.0,1.0,0.2175999879837036,0.2175999879837036,0.17751537601752548,0.14428763744148088
0,1982-12-18,41.124996185302734,-104.02499389648438,0,,,,,,,,0.13484125710869527,0.13484125710869527,0.1550426549839005,0.13161687915178324
0,1982-12-18,41.124996185302734,-104.02499389648438,1,,,,,,,,0.13484125710869527,0.13484125710869527,0.1550426549839005,0.13161687915178324
0,1982-12-18,41.07499694824219,-104.2249984741211,0,,,,,,,,0.09970635975109061,0.09970635975109061,0.12409117438354852,0.12749333440021987
0,1982-12-18,41.07499694824219,-104.2249984741211,1,,,,,,,,0.09970635975109061,0.09970635975109061,0.12409117438354852,0.12749333440021987
0,1982-12-18,41.07499694824219,-104.17499542236328,0,,,,,,,,0.1102876173778285,0.1102876173778285,0.13227981448943957,0.1277007748606917
0,1982-12-18,41.07499694824219,-104.17499542236328,1,,,,,,,,0.1102876173778285,0.1102876173778285,0.13227981448943957,0.1277007748606917
0,1982-12-18,41.07499694824219,-104.125,0,,,,,,,,0.11658704029961417,0.11658704029961417,0.13885640873792066,0.13687923630924684
0,1982-12-18,41.07499694824219,-104.125,1,,,,,,,,0.11658704029961417,0.11658704029961417,0.13885640873792066,0.13687923630924684
0,1982-12-18,41.07499694824219,-104.07499694824219,0,,,,,,,,0.13576711192268345,0.13576711192268345,0.15148434447643216,0.13528178416468886
0,1982-12-18,41.07499694824219,-104.07499694824219,1,,,,,,,,0.13576711192268345,0.13576711192268345,0.15148434447643216,0.13528178416468886
0,1982-12-18,41.07499694824219,-104.02499389648438,0,,,,,,,,0.14012196796124782,0.14012196796124782,0.15523453103350132,0.12836065365839855
0,1982-12-18,41.07499694824219,-104.02499389648438,1,,,,,,,,0.14012196796124782,0.14012196796124782,0.15523453103350132,0.12836065365839855
0,1982-12-18,41.02499771118164,-104.2249984741211,0,,,,,,,,0.11353078607599065,0.11353078607599065,0.11904566977367437,0.13070727242963434
0,1982-12-18,41.02499771118164,-104.2249984741211,1,,,,,,,,0.11353078607599065,0.11353078607599065,0.11904566977367437,0.13070727242963434
0,1982-12-18,41.02499771118164,-104.17499542236328,0,,,,,,,,0.11462257512513196,0.11462257512513196,0.12423655614757392,0.12320957296926512
0,1982-12-18,41.02499771118164,-104.17499542236328,1,,,,,,,,0.11462257512513196,0.11462257512513196,0.12423655614757392,0.12320957296926512
0,1982-12-18,41.02499771118164,-104.125,0,,,,,,,,0.12330252958948255,0.12330252958948255,0.13613067943349594,0.1262602081747135
0,1982-12-18,41.02499771118164,-104.125,1,,,,,,,,0.12330252958948255,0.12330252958948255,0.13613067943349594,0.1262602081747135
0,1982-12-18,41.02499771118164,-104.07499694824219,0,,,,,,,,0.16814999282360077,0.16814999282360077,0.15976088949776746,0.1339404306574154
0,1982-12-18,41.02499771118164,-104.07499694824219,1,,,,,,,,0.16814999282360077,0.16814999282360077,0.15976088949776746,0.1339404306574154
0,1982-12-18,41.02499771118164,-104.02499389648438,0,,,,,,,,0.17192477386907587,0.17192477386907587,0.16688840760482565,0.1370915420757539
0,1982-12-18,41.02499771118164,-104.02499389648438,1,,,,,,,,0.17192477386907587,0.17192477386907587,0.16688840760482565,0.1370915420757539
0,1982-12-19,41.224998474121094,-104.2249984741211,0,-32767.0,41.25,-104.25,0.1182,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12880048802535365,0.12880048802535365,0.1309862272181929,0.1300229797602777
0,1982-12-19,41.224998474121094,-104.2249984741211,1,-32767.0,41.199997,-104.2,0.1182,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12880048802535365,0.12880048802535365,0.1309862272181929,0.1300229797602777
0,1982-12-19,41.224998474121094,-104.17499542236328,0,-32767.0,41.25,-104.2,0.0999,2019-12-30 21:36:00.001373291,16514.0,1.0,0.09989999979734421,0.09989999979734421,0.11560656934163586,0.128214147753361
0,1982-12-19,41.224998474121094,-104.17499542236328,1,-32767.0,41.199997,-104.149994,0.0999,2019-12-30 21:36:00.001373291,16514.0,1.0,0.09989999979734421,0.09989999979734421,0.11560656934163586,0.128214147753361
0,1982-12-19,41.224998474121094,-104.125,0,-32767.0,41.25,-104.15,0.0977,2019-12-30 21:36:00.001373291,16514.0,1.0,0.10637228849729413,0.10637228849729413,0.12110140990836785,0.12290374656619958
0,1982-12-19,41.224998474121094,-104.125,1,-32767.0,41.199997,-104.1,0.0977,2019-12-30 21:36:00.001373291,16514.0,1.0,0.10637228849729413,0.10637228849729413,0.12110140990836785,0.12290374656619958
0,1982-12-19,41.224998474121094,-104.07499694824219,0,-32767.0,41.25,-104.1,0.101799995,2019-12-30 21:36:00.001373291,24706.0,1.0,0.10837691357341597,0.10837691357341597,0.12485189344894947,0.12043322926466637
0,1982-12-19,41.224998474121094,-104.07499694824219,1,-32767.0,41.199997,-104.049995,0.101799995,2019-12-30 21:36:00.001373291,24706.0,1.0,0.10837691357341597,0.10837691357341597,0.12485189344894947,0.12043322926466637
0,1982-12-19,41.224998474121094,-104.02499389648438,0,-32767.0,41.25,-104.049995,0.1046,2019-12-30 21:36:00.001373291,24706.0,1.0,0.11044299402494144,0.11044299402494144,0.11794399677320966,0.13203912724063
0,1982-12-19,41.224998474121094,-104.02499389648438,1,-32767.0,41.199997,-103.99999,0.1046,2019-12-30 21:36:00.001373291,24706.0,1.0,0.11044299402494144,0.11044299402494144,0.11794399677320966,0.13203912724063
0,1982-12-19,41.17499923706055,-104.2249984741211,0,-32767.0,41.2,-104.25,0.1034,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11510842016753652,0.11510842016753652,0.12744179982470744,0.1376910373506709
0,1982-12-19,41.17499923706055,-104.2249984741211,1,-32767.0,41.149998,-104.2,0.1034,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11510842016753652,0.11510842016753652,0.12744179982470744,0.1376910373506709
0,1982-12-19,41.17499923706055,-104.17499542236328,0,-32767.0,41.2,-104.2,0.095,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11565929082211085,0.11565929082211085,0.13145607633081655,0.13009191950222307
0,1982-12-19,41.17499923706055,-104.17499542236328,1,-32767.0,41.149998,-104.149994,0.095,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11565929082211085,0.11565929082211085,0.13145607633081655,0.13009191950222307
0,1982-12-19,41.17499923706055,-104.125,0,-32767.0,41.2,-104.15,0.096999995,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12292422012926096,0.12292422012926096,0.13712524178141766,0.13679499846348434
0,1982-12-19,41.17499923706055,-104.125,1,-32767.0,41.149998,-104.1,0.096999995,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12292422012926096,0.12292422012926096,0.13712524178141766,0.13679499846348434
0,1982-12-19,41.17499923706055,-104.07499694824219,0,-32767.0,41.2,-104.1,0.114599995,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12314240525482399,0.12314240525482399,0.13094347954528757,0.11983648414921645
0,1982-12-19,41.17499923706055,-104.07499694824219,1,-32767.0,41.149998,-104.049995,0.114599995,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12314240525482399,0.12314240525482399,0.13094347954528757,0.11983648414921645
0,1982-12-19,41.17499923706055,-104.02499389648438,0,-32767.0,41.2,-104.049995,0.103199996,2019-12-30 21:36:00.001373291,16514.0,1.0,0.13335030789461697,0.13335030789461697,0.1398905846775551,0.1194814710967974
0,1982-12-19,41.17499923706055,-104.02499389648438,1,-32767.0,41.149998,-103.99999,0.103199996,2019-12-30 21:36:00.001373291,16514.0,1.0,0.13335030789461697,0.13335030789461697,0.1398905846775551,0.1194814710967974
0,1982-12-19,41.124996185302734,-104.2249984741211,0,-32767.0,41.149998,-104.25,0.102,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12007430840825915,0.12007430840825915,0.13335946608539648,0.13223781810727744
0,1982-12-19,41.124996185302734,-104.2249984741211,1,-32767.0,41.099995,-104.2,0.102,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12007430840825915,0.12007430840825915,0.13335946608539648,0.13223781810727744
0,1982-12-19,41.124996185302734,-104.17499542236328,0,-32767.0,41.149998,-104.2,0.12529999,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12748292164048788,0.12748292164048788,0.13988812553435048,0.14336475815137978
0,1982-12-19,41.124996185302734,-104.17499542236328,1,-32767.0,41.099995,-104.149994,0.12529999,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12748292164048788,0.12748292164048788,0.13988812553435048,0.14336475815137978
0,1982-12-19,41.124996185302734,-104.125,0,-32767.0,41.149998,-104.15,0.1226,2019-12-30 21:36:00.001373291,16514.0,1.0,0.17178291251158984,0.17178291251158984,0.17090529543852895,0.15197821593145677
0,1982-12-19,41.124996185302734,-104.125,1,-32767.0,41.099995,-104.1,0.1226,2019-12-30 21:36:00.001373291,16514.0,1.0,0.17178291251158984,0.17178291251158984,0.17090529543852895,0.15197821593145677
0,1982-12-19,41.124996185302734,-104.07499694824219,0,-32767.0,41.149998,-104.1,0.1293,2019-12-30 21:36:00.001373291,16514.0,1.0,0.17459798547251193,0.17459798547251193,0.1760643873060599,0.1442382473985048
0,1982-12-19,41.124996185302734,-104.07499694824219,1,-32767.0,41.099995,-104.049995,0.1293,2019-12-30 21:36:00.001373291,16514.0,1.0,0.17459798547251193,0.17459798547251193,0.1760643873060599,0.1442382473985048
0,1982-12-19,41.124996185302734,-104.02499389648438,0,-32767.0,41.149998,-104.049995,0.106599994,2019-12-30 21:36:00.001373291,24706.0,1.0,0.14381558801212813,0.14381558801212813,0.15399388041600132,0.13147505724035696
0,1982-12-19,41.124996185302734,-104.02499389648438,1,-32767.0,41.099995,-103.99999,0.106599994,2019-12-30 21:36:00.001373291,24706.0,1.0,0.14381558801212813,0.14381558801212813,0.15399388041600132,0.13147505724035696
0,1982-12-19,41.07499694824219,-104.2249984741211,0,-32767.0,41.1,-104.25,0.086799994,2019-12-30 21:36:00.001373291,16514.0,1.0,0.10950221074655389,0.10950221074655389,0.12418008955424288,0.12736046168965937
0,1982-12-19,41.07499694824219,-104.2249984741211,1,-32767.0,41.049995,-104.2,0.086799994,2019-12-30 21:36:00.001373291,16514.0,1.0,0.10950221074655389,0.10950221074655389,0.12418008955424288,0.12736046168965937
0,1982-12-19,41.07499694824219,-104.17499542236328,0,-32767.0,41.1,-104.2,0.1026,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11846313600297298,0.11846313600297298,0.1317202413367881,0.1274879522249189
0,1982-12-19,41.07499694824219,-104.17499542236328,1,-32767.0,41.049995,-104.149994,0.1026,2019-12-30 21:36:00.001373291,16514.0,1.0,0.11846313600297298,0.11846313600297298,0.1317202413367881,0.1274879522249189
0,1982-12-19,41.07499694824219,-104.125,0,-32767.0,41.1,-104.15,0.109,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12406098604876904,0.12406098604876904,0.13730902491578176,0.13679356958391364
0,1982-12-19,41.07499694824219,-104.125,1,-32767.0,41.049995,-104.1,0.109,2019-12-30 21:36:00.001373291,16514.0,1.0,0.12406098604876904,0.12406098604876904,0.13730902491578176,0.13679356958391364
0,1982-12-19,41.07499694824219,-104.07499694824219,0,-32767.0,41.1,-104.1,0.11009999,2019-12-30 21:36:00.001373291,24706.0,1.0,0.1445946851211598,0.1445946851211598,0.14990261623513157,0.13523026631560983
0,1982-12-19,41.07499694824219,-104.07499694824219,1,-32767.0,41.049995,-104.049995,0.11009999,2019-12-30 21:36:00.001373291,24706.0,1.0,0.1445946851211598,0.1445946851211598,0.14990261623513157,0.13523026631560983
0,1982-12-19,41.07499694824219,-104.02499389648438,0,-32767.0,41.1,-104.049995,0.109799996,2019-12-30 21:36:00.001373291,24706.0,1.0,0.14928072457612823,0.14928072457612823,0.15295597350441248,0.12835942619850857
0,1982-12-19,41.07499694824219,-104.02499389648438,1,-32767.0,41.049995,-103.99999,0.109799996,2019-12-30 21:36:00.001373291,24706.0,1.0,0.14928072457612823,0.14928072457612823,0.15295597350441248,0.12835942619850857
0,1982-12-19,41.02499771118164,-104.2249984741211,0,-32767.0,41.05,-104.25,0.1003,2019-12-30 21:36:00.001373291,24706.0,1.0,0.11749711766672405,0.11749711766672405,0.11962594941399715,0.13053892256451174
0,1982-12-19,41.02499771118164,-104.2249984741211,1,-32767.0,40.999996,-104.2,0.1003,2019-12-30 21:36:00.001373291,24706.0,1.0,0.11749711766672405,0.11749711766672405,0.11962594941399715,0.13053892256451174
0,1982-12-19,41.02499771118164,-104.17499542236328,0,-32767.0,41.05,-104.2,0.0971,2019-12-30 21:36:00.001373291,24706.0,1.0,0.1202634365700437,0.1202634365700437,0.12303578678862276,0.12295470688408221
